id	ja	zh-TW	en	ko
0				
1	お助けアイテム	お助けアイテム「ハンマー」×3(TW)	お助けアイテム「ハンマー」×3(EN)	お助けアイテム「ハンマー」×3(KO)
2	★3コスチューム交換券	★3兌換券	★3 Exchange Ticket	★3 교환 티켓
3	"★3『ゆるキャン△②服』
各務原 なでしこ"	"★3『搖曳露營△②服裝』
各務原撫子"	"★3『Laid-Back Camp ② Clothes』
Kagamihara Nadeshiko"	"★3『유루캠△ 2권 복장』
카가미하라 나데시코"
4	まんじゅうセット	日式饅頭套裝	Steamed Bun Set	만주 세트
5	"★3『ゆるキャン△①服』
志摩 リン"	"★3『搖曳露營△①服裝』
志摩凜"	"★3『Laid-Back Camp ① Clothes』
Rin Shima"	"★3『유루캠△ 1권 복장』
시마 린"
6	"★3『ゆるキャン△②服』
なでしこの限凸セット"	"★3『搖曳露營△②服裝』
撫子的限突套組"	"★3『Laid-Back Camp ② Clothes』
Nadeshiko's Limit Break Set"	"★3『유루캠△ 2권 복장』
나데시코 한계돌파 세트"
7	おち葉シールセット	落葉貼紙套組	Falling Leaves Sticker Set	낙엽 스티커 세트
8	ランクアップセット	升級套裝	Rank Up Set	랭크 업 세트
9	"★3『ゆるキャン△①服』
リンの限凸セット"	"★3『搖曳露營△①服裝』
凜的限突套組"	"★3『Laid-Back Camp ① Clothes』
Rin's Limit Break Set"	"★3『유루캠△ 1권 복장』
린 한계돌파 세트"
10	"まんじゅうと
おち葉シールセット"	"日式饅頭與
落葉貼紙套組"	"Steamed Bun & 
Falling Leaves Sticker Set"	"만주와
낙엽 스티커 세트"
11	なでしこのガスランタン	撫子的提燈	Nadeshiko's Lantern	나데시코의 랜턴
12	リンのスクーター	凜的速克達	Rin's Scooter	린의 스쿠터
13	リアルギア①	真實用品①	Real Gear ①	리얼 기어 1
14	スノーテント	雪地帳	Snow Tent	스노우 텐트
15	リアルギア②	真實用品②	Real Gear ②	리얼 기어 2
16	コミコミ3万の焚火台	含稅三萬日圓的篝火台	"30K All Inclusive
Campfire Stand"	모든 세금 포함 3만짜리 모닥불 받침대
17	鳥羽先生の車	鳥羽老師的汽車	Ms. Toba's Car	토바 선생님의 차
18	リアルギア③	真實用品③	Real Gear ③	리얼 기어 3
19	owlテスト課金1	owl測試付費1	owl Test Purchase 1	owl테스트 결제1
20	owlテスト課金2	owl測試付費2	owl Test Purchase 2	owl테스트 결제2
21	owlテスト課金3	owl測試付費3	owl Test Purchase 3	owl테스트 결제3
22	CM視聴報酬	CM觀看獎勵	CM Viewership Rewards	CM 시청 보상
23	owlテストアイテム1	owl測試項目1	owl Test Item 1	owl 테스트 아이템1
24	owlテストアイテム2	owl測試項目2	owl Test Item 2	owl 테스트 아이템2
25	owlテストアイテム3	owl測試項目3	owl Test Item 3	owl 테스트 아이템3
26	owlテストアイテム4	owl測試項目4	owl Test Item 4	owl 테스트 아이템4
27	owlテストアイテム5	owl測試項目5	owl Test Item 5	owl 테스트 아이템5
28	owlテストアイテム6	owl測試項目6	owl Test Item 6	owl 테스트 아이템6
29	namazonプライムセール30コイン	namazon Prime 銷售 30 硬幣	namazon Prime Sale: 30 Coins	namazon 프라임 세일 30 코인
30	namazonプライムセール300コイン	namazon Prime 銷售 300 硬幣	namazon Prime Sale: 300 Coins	namazon 프라임 세일 300 코인
31	namazonプライムセール3000コイン	namazon Prime 銷售 3000 硬幣	namazon Prime Sale: 3000 Coins	namazon 프라임 세일 3000 코인
32	namazonプライムセール30000コイン	namazon Prime 銷售 30000 硬幣	namazon Prime Sale: 30000 Coins	namazon 프라임 세일 30000 코인
33	100ゆるコイン(金)	100搖曳幣(金)	100YuruCoin (Gold)	100유루코인(금)
34	500ゆるコイン(金)	500搖曳幣(金)	500YuruCoin (Gold)	500유루코인(금)
35	1000ゆるコイン(金)	1000搖曳幣(金)	1000YuruCoin (Gold)	1000유루코인(금)
36	2000ゆるコイン(金)	2000搖曳幣(金)	2000YuruCoin (Gold)	2000유루코인(금)
37	3000ゆるコイン(金)	3000搖曳幣(金)	3000YuruCoin (Gold)	3000유루코인(금)
38	5000ゆるコイン(金)	5000搖曳幣(金)	5000YuruCoin (Gold)	5000유루코인(금)
