id	group	feature_id	card_id	card_id_2	value	lb1	lb2	lb3	lb4	lb_bonus	reward_card	open_date	close_date
70101	1	701	10176		30	32	35	40	45			2023-06-20 11:00:00	2023-06-28 23:59:59
70102	1	701	10177		30	32	35	40	45			2023-06-26 11:00:00	2023-06-28 23:59:59
70103	1	701	10178		30	32	35	40	45			2023-06-20 11:00:00	2023-06-28 23:59:59
70104	1	701	10179		30	32	35	40	45			2023-06-20 11:00:00	2023-06-28 23:59:59
70105	1	701	10180		30	32	35	40	45			2023-06-26 11:00:00	2023-06-28 23:59:59
70106	1	701	10106		10	12	15	18	22			2023-06-20 11:00:00	2023-06-28 23:59:59
70107	1	701	10107		10	12	15	18	22			2023-06-26 11:00:00	2023-06-28 23:59:59
70108	1	701	10108		10	12	15	18	22			2023-06-20 11:00:00	2023-06-28 23:59:59
70109	1	701	10109		10	12	15	18	22			2023-06-20 11:00:00	2023-06-28 23:59:59
70110	1	701	10110		10	12	15	18	22			2023-06-26 11:00:00	2023-06-28 23:59:59
70111	1	701	10056		7	9	11	13	15			2023-06-20 11:00:00	2023-06-28 23:59:59
70112	1	701	10057		7	9	11	13	15			2023-06-26 11:00:00	2023-06-28 23:59:59
70113	1	701	10058		7	9	11	13	15			2023-06-20 11:00:00	2023-06-28 23:59:59
70114	1	701	10059		7	9	11	13	15			2023-06-20 11:00:00	2023-06-28 23:59:59
70115	1	701	10060		7	9	11	13	15			2023-06-26 11:00:00	2023-06-28 23:59:59
70116	1	701	10001		5	6	7	8	10			2023-06-20 11:00:00	2023-06-28 23:59:59
70117	1	701	10002		5	6	7	8	10			2023-06-26 11:00:00	2023-06-28 23:59:59
70118	1	701	10003		5	6	7	8	10			2023-06-20 11:00:00	2023-06-28 23:59:59
70119	1	701	10004		5	6	7	8	10			2023-06-20 11:00:00	2023-06-28 23:59:59
70120	1	701	10005		5	6	7	8	10			2023-06-26 11:00:00	2023-06-28 23:59:59
70121	2	701	20121		30	32	35	40	45			2023-06-20 11:00:00	2023-06-28 23:59:59
70122	2	701	20122		30	32	35	40	45			2023-06-20 11:00:00	2023-06-28 23:59:59
70123	2	701	20123		10	13	16	20	25			2023-06-20 11:00:00	2023-06-28 23:59:59
70124	2	701	20124		30	32	35	40	45			2023-06-26 11:00:00	2023-06-28 23:59:59
70125	2	701	20125		20	23	26	30	35			2023-06-26 11:00:00	2023-06-28 23:59:59
70126	2	701	20126		10	13	16	20	25			2023-06-26 11:00:00	2023-06-28 23:59:59
70201	1	702	10191		80	110	130	150	165			2023-07-01 11:00:00	2023-07-12 23:59:59
70202	1	702	10193		80	110	130	150	165			2023-07-01 11:00:00	2023-07-12 23:59:59
70203	1	702	10116		10	13	16	18	20			2023-07-01 11:00:00	2023-07-12 23:59:59
70204	1	702	10118		10	13	16	18	20			2023-07-01 11:00:00	2023-07-12 23:59:59
70205	1	702	10061		6	7	8	9	10			2023-07-01 11:00:00	2023-07-12 23:59:59
70206	1	702	10063		6	7	8	9	10			2023-07-01 11:00:00	2023-07-12 23:59:59
70207	1	702	10046		1	2	3	4	5			2023-07-01 11:00:00	2023-07-12 23:59:59
70208	1	702	10048		1	2	3	4	5			2023-07-01 11:00:00	2023-07-12 23:59:59
70209	2	702	20127		80	110	130	150	165			2023-07-01 11:00:00	2023-07-12 23:59:59
70210	2	702	20128		80	110	130	150	165			2023-07-01 11:00:00	2023-07-12 23:59:59
70211	2	702	20129		6	7	8	9	10			2023-07-01 11:00:00	2023-07-12 23:59:59
70301	1	703	10192		80	110	130	150	165			2023-07-12 11:00:00	2023-07-28 10:59:59
70302	1	703	10194		80	110	130	150	165			2023-07-19 11:00:00	2023-07-28 10:59:59
70303	1	703	10195		80	110	130	150	165			2023-07-12 11:00:00	2023-07-28 10:59:59
70304	1	703	10117		10	13	16	18	20			2023-07-12 11:00:00	2023-07-28 10:59:59
70305	1	703	10119		10	13	16	18	20			2023-07-19 11:00:00	2023-07-28 10:59:59
70306	1	703	10120		10	13	16	18	20			2023-07-12 11:00:00	2023-07-28 10:59:59
70307	1	703	10062		6	7	8	9	10			2023-07-12 11:00:00	2023-07-28 10:59:59
70308	1	703	10064		6	7	8	9	10			2023-07-19 11:00:00	2023-07-28 10:59:59
70309	1	703	10065		6	7	8	9	10			2023-07-12 11:00:00	2023-07-28 10:59:59
70310	1	703	10047		1	2	3	4	5			2023-07-12 11:00:00	2023-07-28 10:59:59
70311	1	703	10049		1	2	3	4	5			2023-07-19 11:00:00	2023-07-28 10:59:59
