id	feature_id	upper	lower	reward_id
70201	702	1	1	205702001
70202	702	2	2	205702002
70203	702	3	3	205702003
70204	702	4	5	205702004
70205	702	6	10	205702005
70206	702	11	50	205702006
70207	702	51	100	205702007
70208	702	101	500	205702008
70209	702	501	1000	205702009
70210	702	1001	3000	205702010
70211	702	3001	5000	205702011
70212	702	5001	10000	205702012
70213	702	10001	30000	205702013
70214	702	30001	50000	205702014
70215	702	50001	100000	205702015
70216	702	100001	1000000	205702016
70301	703	1	1	205703001
70302	703	2	2	205703002
70303	703	3	3	205703003
70304	703	4	5	205703004
70305	703	6	10	205703005
70306	703	11	50	205703006
70307	703	51	100	205703007
70308	703	101	500	205703008
70309	703	501	1000	205703009
70310	703	1001	3000	205703010
70311	703	3001	5000	205703011
70312	703	5001	10000	205703012
70313	703	10001	30000	205703013
70314	703	30001	50000	205703014
70315	703	50001	100000	205703015
70316	703	100001	1000000	205703016
70401	704	1	1	205704001
70402	704	2	2	205704002
70403	704	3	3	205704003
70404	704	4	5	205704004
70405	704	6	10	205704005
70406	704	11	50	205704006
70407	704	51	100	205704007
70408	704	101	500	205704008
70409	704	501	1000	205704009
70410	704	1001	3000	205704010
70411	704	3001	5000	205704011
70412	704	5001	10000	205704012
70413	704	10001	30000	205704013
70414	704	30001	50000	205704014
70415	704	50001	1000000	205704015
70501	705	1	1	205705001
70502	705	2	2	205705002
70503	705	3	3	205705003
70504	705	4	5	205705004
70505	705	6	10	205705005
70506	705	11	50	205705006
70507	705	51	100	205705007
70508	705	101	500	205705008
70509	705	501	1000	205705009
70510	705	1001	3000	205705010
70511	705	3001	5000	205705011
70512	705	5001	10000	205705012
70513	705	10001	30000	205705013
70514	705	30001	50000	205705014
70515	705	50001	1000000	205705015
90201	902	1	1	205902001
90202	902	2	2	205902002
90203	902	3	3	205902003
90204	902	4	10	205902004
90205	902	11	100	205902005
90206	902	101	1000	205902006
90207	902	1001	1000000	205902007
