id	group_id	weight
1151	1	
1151	2	
1151	3	970
1151	4	30
1152	1	
1152	2	
1152	3	925
1152	4	75
1153	1	
1153	2	
1153	3	850
1153	4	150
1161	1	
1161	2	
1161	3	970
1161	4	30
1162	1	
1162	2	
1162	3	925
1162	4	75
1163	1	
1163	2	
1163	3	850
1163	4	150
1171	1	
1171	2	
1171	3	970
1171	4	30
1172	1	
1172	2	
1172	3	925
1172	4	75
1173	1	
1173	2	
1173	3	850
1173	4	150
100011	1	
100011	2	
100011	3	970
100011	4	30
100012	1	
100012	2	
100012	3	925
100012	4	75
100013	1	
100013	2	
100013	3	850
100013	4	150
100021	1	
100021	2	
100021	3	970
100021	4	30
100022	1	
100022	2	
100022	3	925
100022	4	75
100023	1	
100023	2	
100023	3	850
100023	4	150
100061	1	
100061	2	
100061	3	970
100061	4	30
100062	1	
100062	2	
100062	3	925
100062	4	75
100063	1	
100063	2	
100063	3	850
100063	4	150
100071	1	
100071	2	
100071	3	
100071	4	30
100071	5	970
100072	1	
100072	2	
100072	3	
100072	4	75
100072	5	925
100073	1	
100073	2	
100073	3	
100073	4	150
100073	5	850
100081	1	
100081	2	
100081	3	970
100081	4	30
100082	1	
100082	2	
100082	3	925
100082	4	75
100083	1	
100083	2	
100083	3	850
100083	4	150
100091	1	
100091	2	
100091	3	
100091	4	30
100091	5	
100091	6	970
100092	1	
100092	2	
100092	3	
100092	4	75
100092	5	
100092	6	925
100093	1	
100093	2	
100093	3	
100093	4	150
100093	5	
100093	6	850
100101	1	
100101	2	
100101	3	970
100101	4	30
100102	1	
100102	2	
100102	3	925
100102	4	75
100103	1	
100103	2	
100103	3	850
100103	4	150
100111	1	
100111	2	
100111	3	
100111	4	30
100111	5	970
100112	1	
100112	2	
100112	3	
100112	4	75
100112	5	925
100113	1	
100113	2	
100113	3	
100113	4	150
100113	5	850
100121	1	
100121	2	
100121	3	970
100121	4	30
100122	1	
100122	2	
100122	3	925
100122	4	75
100123	1	
100123	2	
100123	3	850
100123	4	150
100131	1	
100131	2	
100131	3	970
100131	4	30
100132	1	
100132	2	
100132	3	925
100132	4	75
100133	1	
100133	2	
100133	3	850
100133	4	150
100141	1	
100141	2	
100141	3	970
100141	4	30
100142	1	
100142	2	
100142	3	925
100142	4	75
100143	1	
100143	2	
100143	3	850
100143	4	150
100151	1	
100151	2	
100151	3	
100151	4	30
100151	5	
100151	6	970
100152	1	
100152	2	
100152	3	
100152	4	75
100152	5	
100152	6	925
100153	1	
100153	2	
100153	3	
100153	4	150
100153	5	
100153	6	850
100161	1	
100161	2	
100161	3	
100161	4	1000
100162	1	
100162	2	
100162	3	
100162	4	1000
100163	1	
100163	2	
100163	3	970
100163	4	30
100164	1	
100164	2	
100164	3	925
100164	4	75
100165	1	
100165	2	
100165	3	850
100165	4	150
100171	1	
100171	2	
100171	3	
100171	4	30
100171	5	970
100172	1	
100172	2	
100172	3	
100172	4	75
100172	5	925
100173	1	
100173	2	
100173	3	
100173	4	150
100173	5	850
100181	1	
100181	2	
100181	3	
100181	4	1000
100182	1	
100182	2	
100182	3	
100182	4	1000
100183	1	
100183	2	
100183	3	970
100183	4	30
100184	1	
100184	2	
100184	3	925
100184	4	75
100185	1	
100185	2	
100185	3	850
100185	4	150
100191	1	
100191	2	
100191	3	
100191	4	30
100191	5	970
100192	1	
100192	2	
100192	3	
100192	4	75
100192	5	925
100193	1	
100193	2	
100193	3	
100193	4	150
100193	5	850
100201	1	
100201	2	
100201	3	
100201	4	1000
100202	1	
100202	2	
100202	3	
100202	4	1000
100203	1	
100203	2	
100203	3	970
100203	4	30
100204	1	
100204	2	
100204	3	925
100204	4	75
100205	1	
100205	2	
100205	3	850
100205	4	150
100211	1	
100211	2	
100211	3	
100211	4	30
100211	5	
100211	6	970
100212	1	
100212	2	
100212	3	
100212	4	75
100212	5	
100212	6	925
100213	1	
100213	2	
100213	3	
100213	4	150
100213	5	
100213	6	850
100221	1	
100221	2	
100221	3	970
100221	4	30
100222	1	
100222	2	
100222	3	925
100222	4	75
100223	1	
100223	2	
100223	3	850
100223	4	150
100231	1	
100231	2	
100231	3	
100231	4	1000
100232	1	
100232	2	
100232	3	
100232	4	1000
100233	1	
100233	2	
100233	3	970
100233	4	30
100234	1	
100234	2	
100234	3	925
100234	4	75
100235	1	
100235	2	
100235	3	850
100235	4	150
100241	1	
100241	2	
100241	3	
100241	4	1000
100242	1	
100242	2	
100242	3	
100242	4	1000
100243	1	
100243	2	
100243	3	970
100243	4	30
100244	1	
100244	2	
100244	3	925
100244	4	75
100245	1	
100245	2	
100245	3	850
100245	4	150
300051	1	
300051	2	
300051	3	970
300051	4	30
300052	1	
300052	2	
300052	3	970
300052	4	30
300053	1	
300053	2	
300053	3	970
300053	4	30
