id	sort_id	product_id	tab_id	type	dia_sale	pay	pay_item_id	mileage_grade	group_id	group_seq	name_text_id	description_text_id	detail_img_id	detail_text_id	img_id	reward_id	price	stock	restock_type	restock_interval	restock_date	is_limit	purchased_shop_id	start_date	open_date	close_date
105	4		51	16		1					19	20020	24108012	40020	24108012	1		1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
106	4		51	16		1					20	20021	24108012	40021	24108012	1		1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
107	4		51	16		1					21	20022	24108012	40022	24108012	1		1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
108	4		1	1		1					22	20023	32230017	40023	32230017	1600000108		4	1		2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2100-12-31 00:00:00
109	4		72	1		1					23	20020	24108012	40020	24108012	1		1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
110	4		72	1		3					24	20021	24108012	40021	24108012	1	100	1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
111	4		10	3		1					25	20022	24108012	40022	24108012	1		1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
113	4		51	16		3					27	20025	24108012	20025	24108012	1	100	1	1		2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
114	4		51	16		3					28	20026	24108012	20026	24108012	1	100		4		2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
115	1		52	16		4					29	20027	24100113	40027	24100113	1	30	1			2100-12-31 00:00:00			2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
116	2		52	16		4					30	20027	24100113	40028	24100113	1	300	1			2100-12-31 00:00:00		115	2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
117	3		52	16		4					31	20027	24100113	40029	24100113	1	3000	1			2100-12-31 00:00:00		116	2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
118	4		52	16		4					32	20027	24100113	40030	24100113	1	30000	1			2100-12-31 00:00:00		117	2022-01-27 11:00:00	2022-01-27 11:00:00	2023-02-28 23:59:59
100007	3		71	1		3					58	20051	25106005	40043	25106005	52	20		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
100008	2		71	1		3					59	20052	25106010	40043	25106010	53	40		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
100009	1		71	1		3					60	20053	25106020	40043	25106020	54	60		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
100010	904		72	1		3					61	20054	25106005	40044	25106005	55	20		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2023-05-23 23:59:59
100011	905		72	1		3					62	20055	25106010	40044	25106010	56	60		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2023-05-23 23:59:59
100012	906		72	1		3					63	20056	25106020	40044	25106020	57	100		4		2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2023-05-23 23:59:59
101001	1		33	18		5	1002				120	20071	27010001	20071	27010001	1600101001	3	25			2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
101002	1		33	18		5	1002				120	20071	27010001	20071	27010001	1600101001	5	25			2100-12-31 00:00:00		101001	2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
101003	1		33	18		5	1002				120	20071	27010001	20071	27010001	1600101001	8	25			2100-12-31 00:00:00		101002	2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
101004	1		33	18		5	1002				120	20071	27010001	20071	27010001	1600101001	10	25			2100-12-31 00:00:00		101003	2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
101005	1		33	18		5	1002				120	20071	27010001	20071	27010001	1600101001	13		4		2100-12-31 00:00:00		101004	2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
101006	1		33	18		5	1002				121	20071	27010002	20071	27010002	1600101006	3	25			2100-12-31 00:00:00			2020-01-01 00:00:00	2020-01-01 00:00:00	2100-12-31 23:59:59
