id	type	priority	title	title_text_id	feature_id	team_battle_event_id	resource_type	resource_id	ios	android	pc	link	link_type	link_id	link_argument	open_date	close_date
7	1	2000	【テスト】ショップへ	1			3	30000000	1	1	1	shop?tab_type=0&shop_type=8&shop_item_id=470111	5			2021-08-01 00:00:00	2021-08-31 23:59:59
10	1	300	ショップへ	1			3	30000000	1	1	1	shop?tab_type=0&shop_type=7&shop_item_id=500005	5			2020-12-31 00:00:00	2023-02-28 23:59:59
11	1	310	ショップへ	1			3	30000000	1	1	1	shop?tab_type=0&shop_type=7&shop_item_id=500006	5			2020-12-31 00:00:00	2023-02-28 23:59:59
12	1	7	お知らせへ	1			3	30070017	1	1	1	notify	5			2020-12-31 00:00:00	2023-12-31 23:59:59
13	1	340	ショップへ	1			3	30000000	1	1	1	shop?tab_type=0	5			2020-12-31 00:00:00	2023-02-28 23:59:59
14	7	1	ガチャへ	1			3	39210001	1	1	1	gacha	5			2020-12-31 00:00:00	2023-06-20 10:59:59
15	7	1	ショップへ	1			3	39170013	1	1	1	shop?tab_type=0	3			2020-12-31 00:00:00	2100-12-31 23:59:59
16	1	1	ガチャへ	1			3	30010001	1	1	1	gacha?gacha_id=10001	5			2022-01-01 11:00:00	2022-12-31 23:59:59
17	1	1	ガチャへ	1			3	30010002	1	1	1	gacha?gacha_id=10002	5			2022-01-01 11:00:00	2022-12-31 23:59:59
18	1	5	ガチャへ	1			3	30010003	1	1	1	gacha?gacha_id=10003	5			2023-01-01 11:00:00	2023-09-30 23:59:59
19	1	6	ショップへ	1			3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2020-01-01 00:00:00	2100-12-31 23:59:59
20	1	30	ショップへ	1			3	30050005	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500014	5			2023-06-19 11:00:00	2023-06-28 23:59:59
21	1	30	ショップへ	1			3	30050006	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500015	5			2023-06-29 11:00:00	2023-07-08 23:59:59
22	1	12	ガチャへ	1			3	30010004	1	1	1	gacha?gacha_id=10004	5			2023-06-15 11:00:00	2100-12-31 23:59:59
23	1	11	ガチャへ	1			3	30010005	1	1	1	gacha?gacha_id=10005	5			2023-06-15 11:00:00	2100-12-31 23:59:59
24	1	1	ガチャへ	1			3	30030001	1	1	1	gacha?gacha_id=30001	5			2022-01-01 11:00:00	2022-12-31 23:59:59
25	1	1	ガチャへ	1			3	30030002	1	1	1	gacha?gacha_id=30002	5			2022-01-01 11:00:00	2022-12-31 23:59:59
26	1	1	ガチャへ	1			3	30030004	1	1	1	gacha?gacha_id=30004	5			2022-01-01 11:00:00	2022-12-31 23:59:59
27	1	100	ショップへ	1			3	30000001	1	1	1	shop?tab_type=0&shop_type=3&shop_item_id=299999	5			2020-01-01 00:00:00	2023-05-30 23:59:59
