id	pool_id	type	target_id	card_id	open_date	close_date
1	1000	2	10001	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
2	1000	2	10002	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
3	1000	2	10003	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
4	1000	2	10004	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
5	1001	2	10005	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
6	1001	2	10006	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
7	1001	2	10007	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
8	1001	2	10008	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
9	1001	2	10009	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
14	1002	2	10014	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
15	1002	2	10015	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
16	1002	2	10016	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
17	1003	2	10017	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
18	1003	2	10018	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
19	1003	2	10019	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
20	1003	2	10020	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
21	1003	2	10021	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
22	1003	2	10022	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
23	1003	2	10023	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
24	1003	2	10024	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
25	1003	2	10025	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
26	1003	2	10026	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
27	1003	2	10027	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
28	1003	2	10028	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
29	1003	2	10029	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
30	1003	2	10030	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
31	1003	2	10031	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
32	1003	2	10032	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
33	1003	2	10033	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
34	1003	2	10034	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
35	1003	2	10035	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
36	1003	2	10036	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
37	1003	2	10037	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
38	1003	2	10038	10001	2020-05-01 00:00:00	2100-12-31 00:00:00
